,date,open,high,low,close,volume
0,2014-02-21,67.9095,68.5291,67.8263,68.2609,4561973
1,2014-02-24,68.5661,70.9984,68.4366,70.2955,9569735
2,2014-02-25,70.2678,70.4158,69.4817,69.6574,3762240
3,2014-02-26,69.6667,70.4019,69.158,70.3418,5433154
4,2014-02-27,70.0828,70.6655,69.9164,70.3048,4227261
5,2014-02-28,70.3233,71.8677,70.1013,71.4608,6176557
6,2014-03-03,70.9337,71.6365,70.7764,71.3036,3673405
7,2014-03-04,71.8955,72.6631,71.7105,72.2562,5171180
8,2014-03-05,72.3764,72.5983,71.7475,72.1267,3934324
9,2014-03-06,72.2746,72.4504,71.7198,71.803,4200499
10,2014-03-07,72.1452,72.2007,71.2481,71.581,3434762
11,2014-03-10,71.4701,72.0434,71.3128,72.0249,2986435
12,2014-03-11,72.0527,72.5521,71.692,71.9325,3471320
13,2014-03-12,71.7283,72.1181,71.6819,72.0253,2875361
14,2014-03-13,72.1738,72.4894,71.4313,71.4777,3178656
15,2014-03-14,71.487,71.487,70.2154,70.2618,5128657
16,2014-03-17,70.6702,71.487,70.6238,71.2456,3517946
17,2014-03-18,71.4405,72.443,71.2549,72.3966,3670775
18,2014-03-19,72.4615,74.5313,72.3409,74.2157,9060088
19,2014-03-20,73.863,75.7287,73.7238,75.673,7786538
20,2014-03-21,76.2855,77.3344,75.4595,75.4966,11828107
21,2014-03-24,75.7843,75.8493,75.0511,75.4409,5306212
22,2014-03-25,75.7287,76.2484,75.1625,75.2739,4590186
23,2014-03-26,75.6266,76.3876,75.246,75.6822,6909988
24,2014-03-27,75.7194,76.0164,74.9768,75.1996,5453852
25,2014-03-28,75.5523,76.434,75.4224,75.7565,4787407
26,2014-03-31,76.1834,76.3598,75.5616,76.0999,3513665
27,2014-04-01,76.4341,77.0838,75.7194,75.9607,4339860
28,2014-04-02,75.6822,75.8679,75.4316,75.7472,3832145
29,2014-04-03,75.7843,76.4341,75.7379,76.3412,4215604
30,2014-04-04,76.7496,76.9724,75.5233,75.673,4788119
31,2014-04-07,75.6451,76.0906,74.949,75.2553,5290330
32,2014-04-08,75.246,75.6915,74.355,74.8655,4048983
33,2014-04-09,74.9954,75.7008,74.717,75.543,3308856
34,2014-04-10,75.5709,76.0999,74.0487,74.2436,4850066
35,2014-04-11,74.0394,74.225,73.1576,73.2783,3418743
36,2014-04-14,73.7331,73.9559,72.7496,73.4918,4013706
37,2014-04-15,73.6589,73.993,72.4522,73.7981,4719051
38,2014-04-16,73.7795,73.8259,71.9047,72.5729,8098381
39,2014-04-17,70.0205,71.1435,68.3219,70.336,13427199
40,2014-04-21,70.2618,70.9857,69.4172,69.5657,6912457
41,2014-04-22,69.7884,70.7166,69.5657,70.3175,6199367
42,2014-04-23,70.3639,70.6052,69.7142,69.9184,4645725
